,Token,Label
89,3⃣ቁጥር3,O
90,ብስራተ,I-LOC
91,ገብርኤል,I-PRICE
92,ላፍቶ,I-LOC
93,ሞል,I-LOC
94,መግቢያው,O
95,ፊት,O
96,ለፊት,O
97,የሚገኘው,O
98,የብስራተ,I-LOC
99,ገብርኤል,I-PRICE
100,ቤተ,O
101,ክርስቲያን,O
102,ህንፃ,I-LOC
103,አንደኛ,O
104,ፎቅ,I-LOC
105,ላይ,O
106,ደረጃ,O
107,እንደወጣቹ,O
108,በስተግራ,O
109,በኩል,O
110,ሱቅ,O
111,ቁጥር,O
112,FF-09,O
113,ክቡራን,O
114,ደምበኞቻችን,O
115,ገርጂ,I-LOC
116,አልፎዝ,O
117,ፕላዛ,I-LOC
118,ላይ,O
119,አራት,O
120,ኪሎ,O
121,ቅድስት,O
122,ስላሴ,I-LOC
123,እንዲሁም,O
124,ብስራተ,I-LOC
125,ገብሬል,O
126,ያሉት,O
127,ሱቆቻችን,O
128,ሲመጡ,O
129,አስተማማኝ,O
130,ሰፊ,O
131,ፓርኪንግ,O
132,ያላቸው,O
133,መሆናቸውን,O
134,በታላቅ,O
135,ደስታ,O
136,እናበስራለን,O
137,Baby,B-PRODUCT
138,romper,I-PRODUCT
139,ከላዩ,I-PRODUCT
140,ፈር,I-PRODUCT
141,ውስጡ,I-PRODUCT
142,ኮተን,I-PRODUCT
143,የሆነ,I-PRODUCT
144,2000,I-PRICE
145,birr,I-PRICE
146,Free,O
147,delivery,O
148,0909003864,I-PHONE
149,0905707448,I-PHONE
150,እቃ,O
151,ለማዘዝ,O
152,ከስር,O
153,ያለውን,O
154,ሊንኮች,O
155,በመጫን,O
156,ማዘዝ,O
157,ትችላላቹ,O
158,@sinasinaye,O
159,@sinayalj2,O
160,አድራሻ,O
161,1⃣ቁጥር1,O
162,ገርጂ,I-LOC
163,ኢምፔሪያል,I-LOC
164,ከሳሚ,O
165,ህንፃ,I-LOC
166,ጎን,O
167,አልፎዝ,O
168,ፕላዛ,I-LOC
169,ግራውንድ,O
170,ላይ,O
171,እንደገቡ,O
172,ያገኙናል,O
173,2⃣ቁጥር2,O
174,4ኪሎ,I-LOC
175,ቅድስት,O
176,ስላሴ,I-LOC
177,ህንፃ,I-LOC
178,ማለትም,O
179,ከብልፅግና,O
180,ዋናፅፈት,O
181,ቤት,O
182,ህንፃ,I-LOC
183,በስተ,O
184,ቀኝ,O
185,ባለው,O
186,አስፓልት,O
187,20ሜትር,O
188,ዝቅ,O
189,እንዳሉ,O
190,ሀበሻ,O
191,ኮፊ,O
192,የሚገኝበት,O
193,ቀይ,O
194,ሸክላ,O
195,ህንፃ,I-LOC
196,2ተኛ,O
197,ፎቅ,I-LOC
198,ላይ,O
199,ያገኙናል,O
200,3⃣ቁጥር3,O
201,ብስራተ,I-LOC
202,ገብርኤል,I-PRICE
203,ላፍቶ,I-LOC
204,ሞል,I-LOC
205,መግቢያው,O
206,ፊት,O
207,ለፊት,O
208,የሚገኘው,O
209,የብስራተ,I-LOC
210,ገብርኤል,I-PRICE
211,ቤተ,O
212,ክርስቲያን,O
213,ህንፃ,I-LOC
214,አንደኛ,O
215,ፎቅ,I-LOC
216,ላይ,O
217,ደረጃ,O
218,እንደወጣቹ,O
219,በስተግራ,O
220,በኩል,O
221,ሱቅ,O
222,ቁጥር,O
223,FF-09,O
224,ክቡራን,O
225,ደምበኞቻችን,O
226,ገርጂ,I-LOC
227,አልፎዝ,O
228,ፕላዛ,I-LOC
229,ላይ,O
230,እንዲሁም,O
231,አራት,O
232,ኪሎ,O
233,ቅድስት,O
234,ስላሴ,I-LOC
235,in,O
236,ህንፃ,I-LOC
237,ላይ,O
238,ያሉት,O
239,ብራንቾቻችን,O
240,ላይ,O
241,እቃ,O
242,ለመግዛት,O
243,ሲመጡ,O
244,አስተማማኝ,O
245,ሰፊ,O
246,ፓርኪንግ,O
247,ያለው,O
248,ጊቢ,O
249,ያላቸው,O
250,ህንፃዎች,I-LOC
251,መሆናቸውን,O
252,በታላቅ,O
253,ደስታ,O
254,እናበስራለን,O
255,Chicco,B-PRODUCT
256,5,I-PRODUCT
257,in,I-PRODUCT
258,1,I-PRODUCT
259,mama,I-PRODUCT
260,bag,I-PRODUCT
261,ኦሪጅናል,O
262,ማቴሪያል,O
263,በሳይዙ,O
264,ትልቅ,O
265,3200,I-PRICE
266,ብር,I-PRICE
267,Free,O
268,delivery,O
269,0909003864,I-PHONE
270,0905707448,I-PHONE
271,ሊንኩን,O
272,በመጫን,O
273,ቴሌግራማችንን,O
274,ይቀላቀሉhttps://t.me/sinayelj,O
275,እቃ,O
276,ለማዘዝ,O
277,ከስር,O
278,ያለውን,O
279,ሊንኮች,O
280,በመጫን,O
281,ማዘዝ,O
282,ትችላላቹ,O
283,@sinasinaye,O
284,https://t.me/sinayelj2,O
285,አድራሻ,O
286,1⃣ቁጥር1,O
287,ገርጂ,I-LOC
288,ኢምፔሪያል,I-LOC
289,ከሳሚ,O
290,ህንፃ,I-LOC
291,ጎን,O
292,አልፎዝ,O
293,ፕላዛ,I-LOC
294,ግራውንድ,O
295,ላይ,O
296,እንደገቡ,O
297,ያገኙናል,O
298,2⃣ቁጥር2,O
299,4ኪሎ,I-LOC
300,ቅድስት,O
301,ስላሴ,I-LOC
302,ህንፃ,I-LOC
303,ማለትም,O
304,ከብልፅግና,O
305,ዋናፅፈት,O
306,ቤት,O
307,ህንፃ,I-LOC
308,በስተ,O
309,ቀኝ,O
310,ባለው,O
311,አስፓልት,O
312,20ሜትር,O
313,ዝቅ,O
314,እንዳሉ,O
315,ሀበሻ,O
316,ኮፊ,O
317,የሚገኝበት,O
318,ቀይ,O
319,ሸክላ,O
320,ህንፃ,I-LOC
321,2ተኛ,O
322,ፎቅ,I-LOC
323,ላይ,O
324,ያገኙናል,O
325,3⃣ቁጥር3,O
326,ብስራተ,I-LOC
327,ገብርኤል,I-PRICE
328,ላፍቶ,I-LOC
329,ሞል,I-LOC
330,መግቢያው,O
331,ፊት,O
332,ለፊት,O
333,የሚገኘው,O
334,የብስራተ,I-LOC
335,ገብርኤል,I-PRICE
336,ቤተ,O
337,ክርስቲያን,O
338,ህንፃ,I-LOC
339,አንደኛ,O
340,ፎቅ,I-LOC
341,ላይ,O
342,ደረጃ,O
343,እንደወጣቹ,O
344,በስተግራ,O
345,በኩል,O
346,ሱቅ,O
347,ቁጥር,O
348,FF-09,O
349,ክቡራን,O
350,ደምበኞቻችን,O
351,ገርጂ,I-LOC
352,አልፎዝ,O
353,ፕላዛ,I-LOC
354,ላይ,O
355,አራት,O
356,ኪሎ,O
357,ቅድስት,O
358,ስላሴ,I-LOC
359,እንዲሁም,O
360,ብስራተ,I-LOC
361,ገብሬል,O
362,ያሉት,O
363,ሱቆቻችን,O
364,ሲመጡ,O
365,አስተማማኝ,O
366,ሰፊ,O
367,ፓርኪንግ,O
368,ያላቸው,O
369,መሆናቸውን,O
370,በታላቅ,O
371,ደስታ,O
372,እናበስራለን,O
373,aiebao,B-PRODUCT
374,HIP,I-PRODUCT
375,SEAT,I-PRODUCT
376,CARRIER,I-PRODUCT
377,ምቹ,O
378,ጠንካራ,O
379,የልጆች,O
380,ማዘያ,O
381,በተለይ,O
382,ለወንድ,O
383,ልጆች,O
384,ፍሬያቸው,O
385,እንዳይጎዳ,O
386,ተደርጎ,O
387,ዲዛይን,O
388,የተደረገ,O
389,2600,I-PRICE
390,birr,I-PRICE
391,0909003864,I-PHONE
392,0905707448,I-PHONE
393,ሊንኩን,O
394,በመጫን,O
395,ቴሌግራማችንን,O
396,ይቀላቀሉhttps://t.me/sinayelj,O
397,እቃ,O
398,ለማዘዝ,O
399,ከስር,O
400,ያለውን,O
401,ሊንኮች,O
402,በመጫን,O
403,ማዘዝ,O
404,ትችላላቹ,O
405,@sinasinaye,O
406,https://t.me/sinayelj2,O
407,አድራሻ,O
408,1⃣ቁጥር1,O
409,ገርጂ,I-LOC
410,ኢምፔሪያል,I-LOC
411,ከሳሚ,O
412,ህንፃ,I-LOC
413,ጎን,O
414,አልፎዝ,O
415,ፕላዛ,I-LOC
416,ግራውንድ,O
417,ላይ,O
418,እንደገቡ,O
419,ያገኙናል,O
420,2⃣ቁጥር2,O
421,4ኪሎ,I-LOC
422,ቅድስት,O
423,ስላሴ,I-LOC
424,ህንፃ,I-LOC
425,ማለትም,O
426,ከብልፅግና,O
427,ዋናፅፈት,O
428,ቤት,O
429,ህንፃ,I-LOC
430,በስተ,O
431,ቀኝ,O
432,ባለው,O
433,አስፓልት,O
434,20ሜትር,O
435,ዝቅ,O
436,እንዳሉ,O
437,ሀበሻ,O
438,ኮፊ,O
439,የሚገኝበት,O
440,ቀይ,O
441,ሸክላ,O
442,ህንፃ,I-LOC
443,2ተኛ,O
444,ፎቅ,I-LOC
445,ላይ,O
446,ያገኙናል,O
447,3⃣ቁጥር3,O
448,ብስራተ,I-LOC
449,ገብርኤል,I-PRICE
450,ላፍቶ,I-LOC
451,ሞል,I-LOC
452,መግቢያው,O
453,ፊት,O
454,ለፊት,O
455,የሚገኘው,O
456,የብስራተ,I-LOC
457,ገብርኤል,I-PRICE
458,ቤተ,O
459,ክርስቲያን,O
460,ህንፃ,I-LOC
461,አንደኛ,O
462,ፎቅ,I-LOC
463,ላይ,O
464,ደረጃ,O
465,እንደወጣቹ,O
466,በስተግራ,O
467,በኩል,O
468,ሱቅ,O
469,ቁጥር,O
470,FF-09,O
471,ክቡራን,O
472,ደምበኞቻችን,O
473,ገርጂ,I-LOC
474,አልፎዝ,O
475,ፕላዛ,I-LOC
476,ላይ,O
477,አራት,O
478,ኪሎ,O
479,ቅድስት,O
480,ስላሴ,I-LOC
481,እንዲሁም,O
482,ብስራተ,I-LOC
483,ገብሬል,O
484,ያሉት,O
485,ሱቆቻችን,O
486,ሲመጡ,O
487,አስተማማኝ,O
488,ሰፊ,O
489,ፓርኪንግ,O
490,ያላቸው,O
491,መሆናቸውን,O
492,በታላቅ,O
493,ደስታ,O
494,እናበስራለን,O
495,Kids,B-PRODUCT
496,mat,I-PRODUCT
497,4100,I-PRICE
498,ብር,I-PRICE
499,Size,O
500,1.80*2m,O
501,free,O
502,delivery,O
503,0909003864,I-PHONE
504,0905707448,I-PHONE
505,እቃ,O
506,ለማዘዝ,O
507,ከስር,O
508,ያለውን,O
509,ሊንኮች,O
510,በመጫን,O
511,ማዘዝ,O
512,ትችላላቹ,O
513,@sinasinaye,O
514,@sinayalj2,O
515,አድራሻ,O
516,1⃣ቁጥር1,O
517,ገርጂ,I-LOC
518,ኢምፔሪያል,I-LOC
519,ከሳሚ,O
520,ህንፃ,I-LOC
521,ጎን,O
522,አልፎዝ,O
523,ፕላዛ,I-LOC
524,ግራውንድ,O
525,ላይ,O
526,እንደገቡ,O
527,ያገኙናል,O
528,2⃣ቁጥር2,O
529,4ኪሎ,I-LOC
530,ቅድስት,O
531,ስላሴ,I-LOC
532,ህንፃ,I-LOC
533,ማለትም,O
534,ከብልፅግና,O
535,ዋናፅፈት,O
536,ቤት,O
537,ህንፃ,I-LOC
538,በስተ,O
539,ቀኝ,O
540,ባለው,O
541,አስፓልት,O
542,20ሜትር,O
543,ዝቅ,O
544,እንዳሉ,O
545,ሀበሻ,O
546,ኮፊ,O
547,የሚገኝበት,O
548,ቀይ,O
549,ሸክላ,O
550,ህንፃ,I-LOC
551,2ተኛ,O
552,ፎቅ,I-LOC
553,ላይ,O
554,ያገኙናል,O
555,3⃣ቁጥር3,O
556,ብስራተ,I-LOC
557,ገብርኤል,I-PRICE
558,ላፍቶ,I-LOC
559,ሞል,I-LOC
560,መግቢያው,O
561,ፊት,O
562,ለፊት,O
563,የሚገኘው,O
564,የብስራተ,I-LOC
565,ገብርኤል,I-PRICE
566,ቤተ,O
567,ክርስቲያን,O
568,ህንፃ,I-LOC
569,አንደኛ,O
570,ፎቅ,I-LOC
571,ላይ,O
572,ደረጃ,O
573,እንደወጣቹ,O
574,በስተግራ,O
575,በኩል,O
576,ሱቅ,O
577,ቁጥር,O
578,FF-09,O
579,ክቡራን,O
580,ደምበኞቻችን,O
581,ገርጂ,I-LOC
582,አልፎዝ,O
583,ፕላዛ,I-LOC
584,ላይ,O
585,አራት,O
586,ኪሎ,O
587,ቅድስት,O
588,ስላሴ,I-LOC
589,እንዲሁም,O
590,ብስራተ,I-LOC
591,ገብሬል,O
592,ያሉት,O
593,ሱቆቻችን,O
594,ሲመጡ,O
595,አስተማማኝ,O
596,ሰፊ,O
597,ፓርኪንግ,O
598,ያላቸው,O
599,መሆናቸውን,O
600,በታላቅ,O
601,ደስታ,O
602,እናበስራለን,O
603,Wearable,B-PRODUCT
604,breast,I-PRODUCT
605,milk,I-PRODUCT
606,collector,I-PRODUCT
607,Wearable,O
608,breast,O
609,milk,O
610,collector,O
611,ከጡት,O
612,የሚንጠባጠብ,O
613,ወተትን,O
614,ማጠራቀሚያ,O
615,በቀላሉ,O
616,ጡት,O
617,መያዚያ,O
618,ስር,O
619,ማድረግ,O
620,የሚቻል,O
621,ምቹ,O
622,እያጠብን,O
623,ምንጠቀምበት,O
624,750,I-PRICE
625,ብር,I-PRICE
626,0909003864,I-PHONE
627,0905707448,I-PHONE
628,ሊንኩን,O
629,በመጫን,O
630,ቴሌግራማችንን,O
631,ይቀላቀሉhttps://t.me/sinayelj,O
632,እቃ,O
633,ለማዘዝ,O
634,ከስር,O
635,ያለውን,O
636,ሊንኮች,O
637,በመጫን,O
638,ማዘዝ,O
639,ትችላላቹ,O
640,@sinasinaye,O
641,https://t.me/sinayelj2,O
642,አድራሻ,O
643,1⃣ቁጥር1,O
644,ገርጂ,I-LOC
645,ኢምፔሪያል,I-LOC
646,ከሳሚ,O
647,ህንፃ,I-LOC
648,ጎን,O
649,አልፎዝ,O
650,ፕላዛ,I-LOC
651,ግራውንድ,O
652,ላይ,O
653,እንደገቡ,O
654,ያገኙናል,O
655,2⃣ቁጥር2,O
656,4ኪሎ,I-LOC
657,ቅድስት,O
658,ስላሴ,I-LOC
659,ህንፃ,I-LOC
660,ማለትም,O
661,ከብልፅግና,O
662,ዋናፅፈት,O
663,ቤት,O
664,ህንፃ,I-LOC
665,በስተ,O
666,ቀኝ,O
667,ባለው,O
668,አስፓልት,O
669,20ሜትር,O
670,ዝቅ,O
671,እንዳሉ,O
672,ሀበሻ,O
673,ኮፊ,O
674,የሚገኝበት,O
675,ቀይ,O
676,ሸክላ,O
677,ህንፃ,I-LOC
678,2ተኛ,O
679,ፎቅ,I-LOC
680,ላይ,O
681,ያገኙናል,O
682,3⃣ቁጥር3,O
683,ብስራተ,I-LOC
684,ገብርኤል,I-PRICE
685,ላፍቶ,I-LOC
686,ሞል,I-LOC
687,መግቢያው,O
688,ፊት,O
689,ለፊት,O
690,የሚገኘው,O
691,የብስራተ,I-LOC
692,ገብርኤል,I-PRICE
693,ቤተ,O
694,ክርስቲያን,O
695,ህንፃ,I-LOC
696,አንደኛ,O
697,ፎቅ,I-LOC
698,ላይ,O
699,ደረጃ,O
700,እንደወጣቹ,O
701,በስተግራ,O
702,በኩል,O
703,ሱቅ,O
704,ቁጥር,O
705,FF-09,O
706,ክቡራን,O
707,ደምበኞቻችን,O
708,ገርጂ,I-LOC
709,አልፎዝ,O
710,ፕላዛ,I-LOC
711,ላይ,O
712,አራት,O
713,ኪሎ,O
714,ቅድስት,O
715,ስላሴ,I-LOC
716,እንዲሁም,O
717,ብስራተ,I-LOC
718,ገብሬል,O
719,ያሉት,O
720,ሱቆቻችን,O
721,ሲመጡ,O
722,አስተማማኝ,O
723,ሰፊ,O
724,ፓርኪንግ,O
725,ያላቸው,O
726,መሆናቸውን,O
727,በታላቅ,O
728,ደስታ,O
729,እናበስራለን,O
730,ክቡራን,B-PRODUCT
731,ደምበኞቻችን,I-PRODUCT
732,እሁድ,I-PRODUCT
733,ገርጂ,I-PRODUCT
734,እና,I-PRODUCT
735,ብስራተ,I-PRODUCT
736,ገብሬል,I-PRODUCT
737,የሚገኘው,I-PRODUCT
738,ሱቃችን,I-PRODUCT
739,ከጠዋት,I-PRODUCT
740,4,I-PRODUCT
741,ሰሀት,I-PRODUCT
742,ጀምሮ,I-PRODUCT
743,ክፍት,I-PRODUCT
744,መሆኑን,I-PRODUCT
745,ስንገልፅ,I-PRODUCT
746,በታላቅ,I-PRODUCT
747,አክብሮት,I-PRODUCT
748,ነው,I-PRODUCT
749,Double,B-PRODUCT
750,layer,I-PRODUCT
751,lunch,I-PRODUCT
752,box,I-PRODUCT
753,with,O
754,dipping,O
755,jar,O
756,1250,I-PRICE
757,birr,I-PRICE
758,0909003864,I-PHONE
759,0905707448,I-PHONE
760,ሊንኩን,O
761,በመጫን,O
762,ቴሌግራማችንን,O
763,ይቀላቀሉhttps://t.me/sinayelj,O
764,እቃ,O
765,ለማዘዝ,O
766,ከስር,O
767,ያለውን,O
768,ሊንኮች,O
769,በመጫን,O
770,ማዘዝ,O
771,ትችላላቹ,O
772,@sinasinaye,O
773,https://t.me/sinayelj2,O
774,አድራሻ,O
775,1⃣ቁጥር1,O
776,ገርጂ,I-LOC
777,ኢምፔሪያል,I-LOC
778,ከሳሚ,O
779,ህንፃ,I-LOC
780,ጎን,O
781,አልፎዝ,O
782,ፕላዛ,I-LOC
783,ግራውንድ,O
784,ላይ,O
785,እንደገቡ,O
786,ያገኙናል,O
787,2⃣ቁጥር2,O
788,4ኪሎ,I-LOC
789,ቅድስት,O
790,ስላሴ,I-LOC
791,ህንፃ,I-LOC
792,ማለትም,O
793,ከብልፅግና,O
794,ዋናፅፈት,O
795,ቤት,O
796,ህንፃ,I-LOC
797,በስተ,O
798,ቀኝ,O
799,ባለው,O
800,አስፓልት,O
801,20ሜትር,O
802,ዝቅ,O
803,እንዳሉ,O
804,ሀበሻ,O
805,ኮፊ,O
806,የሚገኝበት,O
807,ቀይ,O
808,ሸክላ,O
809,ህንፃ,I-LOC
810,2ተኛ,O
811,ፎቅ,I-LOC
812,ላይ,O
813,ያገኙናል,O
814,3⃣ቁጥር3,O
815,ብስራተ,I-LOC
816,ገብርኤል,I-PRICE
817,ላፍቶ,I-LOC
818,ሞል,I-LOC
819,መግቢያው,O
820,ፊት,O
821,ለፊት,O
822,የሚገኘው,O
823,የብስራተ,I-LOC
824,ገብርኤል,I-PRICE
825,ቤተ,O
826,ክርስቲያን,O
827,ህንፃ,I-LOC
828,አንደኛ,O
829,ፎቅ,I-LOC
830,ላይ,O
831,ደረጃ,O
832,እንደወጣቹ,O
833,በስተግራ,O
834,በኩል,O
835,ሱቅ,O
836,ቁጥር,O
837,FF-09,O
838,ክቡራን,O
839,ደምበኞቻችን,O
840,ገርጂ,I-LOC
841,አልፎዝ,O
842,ፕላዛ,I-LOC
843,ላይ,O
844,አራት,O
845,ኪሎ,O
846,ቅድስት,O
847,ስላሴ,I-LOC
848,እንዲሁም,O
849,ብስራተ,I-LOC
850,ገብሬል,O
851,ያሉት,O
852,ሱቆቻችን,O
853,ሲመጡ,O
854,አስተማማኝ,O
855,ሰፊ,O
856,ፓርኪንግ,O
857,ያላቸው,O
858,መሆናቸውን,O
859,በታላቅ,O
860,ደስታ,O
861,እናበስራለን,O
862,50,B-PRODUCT
863,pcs,I-PRODUCT
864,balls,I-PRODUCT
865,1700,I-PRICE
866,birr,I-PRICE
867,0909003864,I-PHONE
868,0905707448,I-PHONE
869,ሊንኩን,O
870,በመጫን,O
871,ቴሌግራማችንን,O
872,ይቀላቀሉhttps://t.me/sinayelj,O
873,እቃ,O
874,ለማዘዝ,O
875,ከስር,O
876,ያለውን,O
877,ሊንኮች,O
878,በመጫን,O
879,ማዘዝ,O
880,ትችላላቹ,O
881,@sinasinaye,O
882,https://t.me/sinayelj2,O
883,አድራሻ,O
884,1⃣ቁጥር1,O
885,ገርጂ,I-LOC
886,ኢምፔሪያል,I-LOC
887,ከሳሚ,O
888,ህንፃ,I-LOC
889,ጎን,O
890,አልፎዝ,O
891,ፕላዛ,I-LOC
892,ግራውንድ,O
893,ላይ,O
894,እንደገቡ,O
895,ያገኙናል,O
896,2⃣ቁጥር2,O
897,4ኪሎ,I-LOC
898,ቅድስት,O
899,ስላሴ,I-LOC
900,ህንፃ,I-LOC
901,ማለትም,O
902,ከብልፅግና,O
903,ዋናፅፈት,O
904,ቤት,O
905,ህንፃ,I-LOC
906,በስተ,O
907,ቀኝ,O
908,ባለው,O
909,አስፓልት,O
910,20ሜትር,O
911,ዝቅ,O
912,እንዳሉ,O
913,ሀበሻ,O
914,ኮፊ,O
915,የሚገኝበት,O
916,ቀይ,O
917,ሸክላ,O
918,ህንፃ,I-LOC
919,2ተኛ,O
920,ፎቅ,I-LOC
921,ላይ,O
922,ያገኙናል,O
923,3⃣ቁጥር3,O
924,ብስራተ,I-LOC
925,ገብርኤል,I-PRICE
926,ላፍቶ,I-LOC
927,ሞል,I-LOC
928,መግቢያው,O
929,ፊት,O
930,ለፊት,O
931,የሚገኘው,O
932,የብስራተ,I-LOC
933,ገብርኤል,I-PRICE
934,ቤተ,O
935,ክርስቲያን,O
936,ህንፃ,I-LOC
937,አንደኛ,O
938,ፎቅ,I-LOC
939,ላይ,O
940,ደረጃ,O
941,እንደወጣቹ,O
942,በስተግራ,O
943,በኩል,O
944,ሱቅ,O
945,ቁጥር,O
946,FF-09,O
947,ክቡራን,O
948,ደምበኞቻችን,O
949,ገርጂ,I-LOC
950,አልፎዝ,O
951,ፕላዛ,I-LOC
952,ላይ,O
953,አራት,O
954,ኪሎ,O
955,ቅድስት,O
956,ስላሴ,I-LOC
957,እንዲሁም,O
958,ብስራተ,I-LOC
959,ገብሬል,O
960,ያሉት,O
961,ሱቆቻችን,O
962,ሲመጡ,O
963,አስተማማኝ,O
964,ሰፊ,O
965,ፓርኪንግ,O
966,ያላቸው,O
967,መሆናቸውን,O
968,በታላቅ,O
969,ደስታ,O
970,እናበስራለን,O
971,Infantino,B-PRODUCT
972,baby,I-PRODUCT
973,carier,I-PRODUCT
974,ባለ,O
975,ኮፉያ,O
976,ምቹ,O
977,ማዘያ,O
978,በ,O
979,3,I-PRICE
980,አቅጣጫ,O
981,ማዘል,O
982,የሚያስችል,O
983,3300,I-PRICE
984,ብር,I-PRICE
985,18,I-PRICE
986,kg,O
987,0909003864,I-PHONE
988,0905707448,I-PHONE
989,ሊንኩን,O
990,በመጫን,O
991,ቴሌግራማችንን,O
992,ይቀላቀሉhttps://t.me/sinayelj,O
993,እቃ,O
994,ለማዘዝ,O
995,ከስር,O
996,ያለውን,O
997,ሊንኮች,O
998,በመጫን,O
999,ማዘዝ,O
1000,ትችላላቹ,O
1001,@sinasinaye,O
1002,https://t.me/sinayelj2,O
1003,አድራሻ,O
1004,1⃣ቁጥር1,O
1005,ገርጂ,I-LOC
1006,ኢምፔሪያል,I-LOC
1007,ከሳሚ,O
1008,ህንፃ,I-LOC
1009,ጎን,O
1010,አልፎዝ,O
1011,ፕላዛ,I-LOC
1012,ግራውንድ,O
1013,ላይ,O
1014,እንደገቡ,O
1015,ያገኙናል,O
1016,2⃣ቁጥር2,O
1017,4ኪሎ,I-LOC
1018,ቅድስት,O
1019,ስላሴ,I-LOC
1020,ህንፃ,I-LOC
1021,ማለትም,O
1022,ከብልፅግና,O
1023,ዋናፅፈት,O
1024,ቤት,O
1025,ህንፃ,I-LOC
1026,በስተ,O
1027,ቀኝ,O
1028,ባለው,O
1029,አስፓልት,O
1030,20ሜትር,O
1031,ዝቅ,O
1032,እንዳሉ,O
1033,ሀበሻ,O
1034,ኮፊ,O
1035,የሚገኝበት,O
1036,ቀይ,O
1037,ሸክላ,O
1038,ህንፃ,I-LOC
1039,2ተኛ,O
1040,ፎቅ,I-LOC
1041,ላይ,O
1042,ያገኙናል,O
1043,3⃣ቁጥር3,O
1044,ብስራተ,I-LOC
1045,ገብርኤል,I-PRICE
1046,ላፍቶ,I-LOC
1047,ሞል,I-LOC
1048,መግቢያው,O
1049,ፊት,O
1050,ለፊት,O
1051,የሚገኘው,O
1052,የብስራተ,I-LOC
1053,ገብርኤል,I-PRICE
1054,ቤተ,O
1055,ክርስቲያን,O
1056,ህንፃ,I-LOC
1057,አንደኛ,O
1058,ፎቅ,I-LOC
1059,ላይ,O
1060,ደረጃ,O
1061,እንደወጣቹ,O
1062,በስተግራ,O
1063,በኩል,O
1064,ሱቅ,O
1065,ቁጥር,O
1066,FF-09,O
1067,ክቡራን,O
1068,ደምበኞቻችን,O
1069,ገርጂ,I-LOC
1070,አልፎዝ,O
1071,ፕላዛ,I-LOC
1072,ላይ,O
1073,አራት,O
1074,ኪሎ,O
1075,ቅድስት,O
1076,ስላሴ,I-LOC
1077,እንዲሁም,O
1078,ብስራተ,I-LOC
1079,ገብሬል,O
1080,ያሉት,O
1081,ሱቆቻችን,O
1082,ሲመጡ,O
1083,አስተማማኝ,O
1084,ሰፊ,O
1085,ፓርኪንግ,O
1086,ያላቸው,O
1087,መሆናቸውን,O
1088,በታላቅ,O
1089,ደስታ,O
1090,እናበስራለን,O
1091,Mastela,B-PRODUCT
1092,deluxe,I-PRODUCT
1093,multi-functional,I-PRODUCT
1094,bassinet,I-PRODUCT
1095,አልቋል,O
